=== SHEET: ADO raw data ===
Category (functional area),Request title,Request Description,Request Type,Health Plan,Date Created,State, , , , , , , , , , , , , , , , , , , 
Data Ingestion/ETL,Eligibility files to use source data from Blob storage,"style display inline important color rgb 68, 68, 68 cursor text font family quot Segoe UI quot , quot Segoe quot ,Tahoma,Helvetica,Arial,sans serif font size 13px New packages were created to accommodate to import data from source file in blob storage, download the file to oa ad3 Analytics for processing , eliminate the archive step and add a delete of the source file downloaded. style display inline important color rgb 68, 68, 68 cursor text font family quot Segoe UI quot , quot Segoe quot ,Tahoma,Helvetica,Arial,sans serif font size 13px Only MMM has a delimited file so in that case it can be processed from blob storage.",Customization,MMM,12/31/2018 4:45:32 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Update that Ed asked for on SSS Eligibility ETL,,Customization,SSS,2/5/2019 11:30:03 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Realtime Eligibility - Eligibility Service - Get patient eligibility by making a request to Mirth and mapping the response into the data received from the current data store,"AS A Eligibility API Consumer MATIS I WANT To get real time eligibility data on a member, if we have integrated with a realtime source for the payer SO THAT I have the most current information",Standard,,2/21/2019 5:40:11 AM,Closed,,,,,,,,,,,,,,,,,,,
Other,Realtime Eligibility - Elig Service - Ability to configure at the payer level if the payer is using realtime integration or not,AS A Administrator I WANT To configure whether the payer is configured for real time eligibility checks SO THAT We only invoke mirth if the client is configured for realtime checks,Standard,,2/21/2019 5:43:08 AM,Closed,,,,,,,,,,,,,,,,,,,
Other,Realtime Eligibility - Elig Service - Create a mock endpoint for testing purposes,AS A Development team I WANT A mock service that I can use for testing the Eligibility API s real time and failover capabilities SO THAT Used for testing since it is not practical in dev test environments to make requests to Availity,Standard,,2/21/2019 5:45:54 AM,Closed,,,,,,,,,,,,,,,,,,,
Other,Realtime Eligibility - Elig Service - Ability to manually (temporarily) use local storage only,"AS A system administrator I WANT To be able to configure the Eligibility API to use only local non realtime eligibility data for a payer SO THAT I can still process requests if a downstream clearinghouse trading partner is offline Note manually needed for cases when availity returns not found for most members. It s not an error response, but when there are lots of them we need to do manual lookups today.",Standard,,2/21/2019 6:06:48 AM,New,,,,,,,,,,,,,,,,,,,
Other,Realtime Eligibility - Elig Service - Ability to automatically use local storage if error message is returned from realtime source,AS A Ops team I WANT The eligibility service to automatically use local eligibility data if the invocation of the 3rd party service fails SO THAT We can still process cases,Standard,,2/21/2019 6:09:41 AM,New,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,As CRS I want to update the Gender information on the edit eligibility screen to correct the data entry mistake,img src https oncologyanalytics.visualstudio.com 2825bdb3 fcc4 4485 9dc0 03da27a46565 apis wit attachments 19d4fb5a b7f8 4677 a710 709e5288e05f fileName image.png,Standard,,2/27/2019 10:13:15 PM,New,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Define Eligibility File For SWHP Implementation,style display inline important Define Eligibility File for SWHP. File will need to support several new products and services that we have not previously performed and will need to be developed during implementation,Customization,SWHP,3/15/2019 4:55:11 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Define Eligibility File for Triple S Implementation,style display inline important Define Eligibility file for Triple S they have requested that we receive new data everyday so we will need to implement daily delta files and develop the processes to handle them,Customization,SSS,3/15/2019 5:22:07 PM,Closed,,,,,,,,,,,,,,,,,,,
Data De-identification,Create DeID process for SSS Eligibility Data,,Customization,SSS,3/18/2019 7:35:00 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Automate: Monthly MCS Eligibility File Delivery,,Customization,MCS,3/21/2019 8:54:22 PM,New,,,,,,,,,,,,,,,,,,,
Other,Automate: Monthly MMM Eligibility,,Customization,MMM,3/21/2019 8:54:35 PM,New,,,,,,,,,,,,,,,,,,,
Other,Realtime Eligibility - Error handling,,Standard,,3/27/2019 10:52:57 AM,Closed,,,,,,,,,,,,,,,,,,,
Other,Expand length of Eligibility MajorLineOfBusiness field,AS A payer implementations I WANT to be able to store up to 100 characters for the Major Line of Business SO THAT The field length matches the MATIS ProductLine field length,Customization,SWHP,3/27/2019 5:31:08 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Member preferred language - Eligibility API support,AS A CRS I WANT To know what hte member s preferred language is SO THAT I know if I need to use a translation service to communicate with the member,Customization,SWHP,3/28/2019 6:07:04 AM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,"Load monthly eligibility files for AHC, MCS, MMM, SWHP","style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt style font size 12.0pt color black Hi Orieta, style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt style font size 12.0pt color black style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt style font size 12.0pt color black The integration runtime server is not in place yet To integrate SSIS on our Azure platform . So, could you ran the Eligibility data upload processes for our Ax system style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt style font size 12.0pt color black style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt style font size 12.0pt color black Thanks,",Customization,SWHP,4/1/2019 4:29:00 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Add build gate policy to eligibility-db develop and master branches,,Standard,,4/7/2019 4:06:15 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,SSS Eligibility File Phase 2: Add Contract and Plan ID fields to the file,style display inline important Add Contract ID and Plan ID to the SSS eligibility file.,Customization,SSS,4/17/2019 10:06:45 PM,New,,,,,,,,,,,,,,,,,,,
Other,"Add a Product Line Description field to Add/Edit Patient, Add/Edit Payer, Add/Edit Product Line, Edit Eligibility History and Process Assignment screens","AS AN Administrator I WANT to be able to see the Product Line Description displayed on Add Edit Patient , Add Edit Payer , Add Edit Product Line Edit Eligibility History and Process Assignment screens SO THAT I know the description of the product line tied to the payer.",Customization,SWHP,4/30/2019 9:14:45 PM,To Do,,,,,,,,,,,,,,,,,,,
Letters & Notifications,Add/Edit Patient and Edit Eligibility Information: Use an address API to validate a manually entered member address,AS A CRS CRS Director I WANT the system to perform address validations on the Add Edit Patient and Edit Eligibility Information screen SO THAT I know the member notifications will be sent to a valid address.,Customization,SWHP,5/14/2019 7:31:23 PM,To Do,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Eligibility History: Add Patient Address and Phone #s,AS A Administrator CRS CRS Director MD Pharmd RN Provider Relations Provider Relations Director I WANT to view patient address and phone numbers fields Eligibility History popup SO THAT I know if data did did not change for the patient. img src https oncologyanalytics.visualstudio.com 2825bdb3 fcc4 4485 9dc0 03da27a46565 apis wit attachments d9898b82 dbf5 4c09 be06 b5b3504de675 fileName image.png,Customization,SSS,5/20/2019 11:29:21 PM,To Do,,,,,,,,,,,,,,,,,,,
Other,FirstMedical Implement Eligibility integration,,Standard,,5/21/2019 11:32:01 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,FC - Implement Eligibility Integration,,Standard,,5/21/2019 11:36:03 PM,Closed,,,,,,,,,,,,,,,,,,,
Eligibility Flags,Add/Edit Patient screen: Add Product Line and OON Benefit fields to Eligibility History and Edit Eligibility Information screens,"AS A Operations Manager I WANT To have Product Line and OON Benefit values for a patient SO THAT I can style background color rgb 255, 255, 255 display inline important enter Product Line and OON Benefit values for a patient even when a case is created",Customization,SWHP,5/24/2019 12:56:25 PM,To Do,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Load May eligibility files,,Standard,,6/3/2019 5:08:12 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Eligibility Review,img src https oncologyanalytics.visualstudio.com 2825bdb3 fcc4 4485 9dc0 03da27a46565 apis wit attachments 79f1a080 5f3f 4958 bae4 7933aff9233a fileName image.png alt Image The 1 represents an active patient as of today 6 13 19 . There are definitely too many for most of the payers. I replaced null end dates on the eligibility files with a future date to get these values. How else can we determine the proper end date,Standard,,6/13/2019 10:17:54 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,"Expand size of EligibilityDB fields to support SSS, FirstMedical data elements","MemberID, Medicaid ID, AddressLine1, AddressLine2, GroupAddressLine1 and GroupAddressLine2 won t fit in our current field lengths Please Expand the fields as follows MemberID Please expand from 12 to 20 characters MedicaidID Please expand from 12 to 15 characters AddressLine1 Please expand from 32 to 55 characters style display inline important AddressLine2 Please expand from 32 to 55 characters style box sizing border box GroupAddressLine1 Please expand from 32 to 55 characters style box sizing border box style box sizing border box display inline GroupAddressLine2 Please expand from 32 to 55 characters",Customization,SSS,6/26/2019 11:14:17 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Eligibility load June files,"continue loading the files manually since they were moved to the blob storage. AHCEligibilityLoadBlob.dtsx, font style background color rgba 255, 255, 255, 1 MCS style display inline important EligibilityLoadBlob.dtsx and SWPEliiigbilityloadBlob.dtsx font font style background color rgba 255, 255, 255, 1 style display inline important MMM file did not load same issue with extra commas on address fields. font",Customization,MCS,7/1/2019 4:45:30 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Add/Edit Patient Edit Eligibility History & Process Assignment Screens: Add Product Line and Product Line Description Tool Tip,"AS A CRS CRS Director MD PharmD RN Provider Relations Provider Relations Manager External OA Providers Administrator Tester I WANT to be able see product line and product line description in a tool tip when my cursor touches a the Product Line field on Add Edit Edit Eligibility History and Process Assignment screens to be able to see the style background color rgb 255, 255, 255 display inline important product line and product line description in a tool tip wh style background color rgb 255, 255, 255 display inline important en the cursor touches the product line in the Product Line drop down on Add Edit Patient . SO THAT I know the description of the product line associated to the member.",Customization,SWHP,7/3/2019 1:56:29 PM,To Do,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Add support for | delimited eligibility files,,Customization,SSS,7/9/2019 11:51:57 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Gateway - Eligibility Interface,,Customization,GATEWAY,7/10/2019 12:19:32 AM,Closed,,,,,,,,,,,,,,,,,,,
Other,Evaluate eligibility across health plans in PR,,Standard,,7/26/2019 11:27:26 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Load eligibility files for July 2019,Load eligibility files for July 2019,Standard,,7/30/2019 12:27:36 AM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Load August eligibility,"Load eligibility files style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt AHC 5,800 style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt MCS 174,651 style margin 0px 0in font family quot Calibri quot ,sans serif font size 11pt style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt SWHP 88,002 records.",Customization,SWHP,9/3/2019 4:54:07 PM,Closed,,,,,,,,,,,,,,,,,,,
Network & PCP,PCP Report Using Monthly Eligibility,"Using Humanas eligibility file, indicate potential missing PCP centers in Salesforce based on member LOB and affiliated full facility ID.",Customization,HUMANA,9/24/2019 3:31:13 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Load September's Eligibility,"style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt The records below were loaded for this month. style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt MMM file had the same issue please see the spreadsheet attached. style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt AHC 5,780 style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt MCS 172,360 style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt SWHP 89,700",Customization,SWHP,9/30/2019 10:09:39 PM,Closed,,,,,,,,,,,,,,,,,,,
Re-verification & Overrides,Fl Medicaid Eligibility,"Hello, We need a report ran on Humana s eligibility files. We are needing to know if they are sending us OOS members on their eligibility file for Florida Medicaid, and if they are how many each month preferably since December 2018 . I have put together a guide that shows which cities counties are out of scope for FL Medicaid so you can match it up to the city listed on the member eligibility file.. Please feel free to give me a call with any questions concerns. Thanks, From Ed Krupski Sent Monday, October 28, 2019 2 37 PM To Crystal Block Cc Jim Cullinan Sara Zywicki Kathy Mosbaugh Subject Re Fl Medicaid Eligibility Hi Crystal I don t have the ability to run any reports, you would have to reach out to the analytics team and request them to run the report that you are looking for. What I can tell you off the top of my head though is that Humana sends us unabridged eligibility files, which means that they send us all of their members regardless of if they are in our market or not we receive over 6 million members on each weekly file from Humana and we only cover less than 2 million of them. Please let me know if there is anything else that I can help with, thank you Ed Krupski Director of Information Services and Technology t 888.916.2616 x 209 f 800.264.6128 w www.oncologyanalytics.com e ed oncologyanalytics.com This email may contain confidential and or privileged material. If you are not the intended recipient, any review, dissemination, or duplication of this communication is strictly prohibited. If you have received this email in error, please notify the sender immediately and destroy the message. From Crystal Block Sent Monday, October 28, 2019 2 29 PM To Ed Krupski Cc Jim Cullinan Sara Zywicki Kathy Mosbaugh Subject RE Fl Medicaid Eligibility Ok thanks for the verifying. Ed, we need a report ran on the Humana Eligibility files this year that say if there were any out of scope members on it. I put together a file that tells you which cities are in scope based on what city is listed on their eligibility file see attachment . Ideally we run this by month since December of last year. Let me know if this request should go to anyone else or if a quick phone call would help. From Sara Zywicki Sent Monday, October 28, 2019 2 01 PM To Ed Krupski Crystal Block Bushra Farooq Cc Brenton Chamberland Subject RE Fl Medicaid Eligibility I don t see anything in the front end configuration that would exclude certain counties in FL for Medicaid. Do you want me to request a report of the Medicaid cases to review the county list From Ed Krupski Sent Monday, October 28, 2019 1 08 PM To Crystal Block Bushra Farooq Cc Brenton Chamberland Sara Zywicki Subject Re Fl Medicaid Eligibility I don t believe location criteria is part of the eligibility verification, we just query the file that we receive from the health plan and if the member exists then we populate the data on their record in MATIS. There may be an additional scope check when trying to save the patient record after the eligibility verification is complete, but I m not all that familiar with MATIS itself so I can t answer with certainty, my apologies Ed Krupski Director of Information Services and Technology t 888.916.2616 x 209 f 800.264.6128 w www.oncologyanalytics.com e ed oncologyanalytics.com This email may contain confidential and or privileged material. If you are not the intended recipient, any review, dissemination, or duplication of this communication is strictly prohibited. If you have received this email in error, please notify the sender immediately and destroy the message. From Crystal Block Sent Monday, October 28, 2019 1 05 PM To Ed Krupski Bushra Farooq Cc Brenton Chamberland Sara Zywicki Subject RE Fl Medicaid Eligibility I need to know for certain what it is doing for Humana Fl Medicaid, who can answer with certainty We are trying to figure out if counties we are not contracted for FL Medicaid are being considered out of scope or if they are going through as if they were in scope. From Ed Krupski Sent Monday, October 28, 2019 1 02 PM To Bushra Farooq Crystal Block Brenton Chamberland Sara Zywicki Subject Re Fl Medicaid Eligibility To my knowledge MATIS checks eligibility for all of the members the same way, and if the member is a Medicaid member then the Medicaid LOB that is configured for that specific payer populates in the patient s LOB field. Please let me know if you have any other questions or if I can help with anything else, thank you Ed Krupski Director of Information Services and Technology t 888.916.2616 x 209 f 800.264.6128 w www.oncologyanalytics.com e ed oncologyanalytics.com This email may contain confidential and or privileged material. If you are not the intended recipient, any review, dissemination, or duplication of this communication is strictly prohibited. If you have received this email in error, please notify the sender immediately and destroy the message. From Bushra Farooq Sent Monday, October 28, 2019 12 11 PM To Crystal Block Brenton Chamberland Sara Zywicki Ed Krupski Subject RE Fl Medicaid Eligibility Ed Hi Crystal I am not sure how MATIS checks for FL Medicaid. But maybe Ed can help answer. Thanks Bushra Farooq Sr. Product Manager m 404.421.9161 t 888.916.2616 x 509 f 800.264.6128 w www.oncologyanalytics.com e bfarooq oncologyanalytics.com This email may contain confidential and or privileged material. If you are not the intended recipient, any review, dissemination, or duplication of this communication is strictly prohibited. If you have received this email in error, please notify the sender immediately and destroy the message. From Crystal Block Sent Monday, October 28, 2019 10 26 AM To Brenton Chamberland Sara Zywicki Bushra Farooq Subject RE Fl Medicaid Eligibility Just following up on this. Also adding in Bushra in case she can help get us an answer. From Crystal Block Sent Tuesday, October 22, 2019 12 49 PM To Brenton Chamberland Sara Zywicki Subject Fl Medicaid Eligibility Hello, Can one of you tell me the criteria Matis uses to check Fl Medicaid member eligibility Crystal Block Director of Client Success t 888.916.2616 x 261 m 919 816 5881 f 800.264.6128 w www.oncologyanalytics.com e cblock oncologyanalytics.com Confidentiality Statement This email and any files transmitted with it may contain confidential and or privileged material and is intended only for the person or entity to which it is addressed. Any review, retransmission, dissemination or other use of, or taking of any action in reliance upon, this information by persons or entities other than the intended recipient is prohibited. If you have received this email in error, please notify the sender immediately and delete this material from all known records.",Customization,HUMANA,10/28/2019 8:43:48 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Load First Care eligibility,,Standard,,11/11/2019 8:49:30 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Load First Medical eligibility,,Standard,,11/11/2019 8:50:12 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Review SSS Eligibility File,"validate what we re receiving, is it unabridged , and the of expected members",Customization,SSS,11/20/2019 4:28:17 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Review Eligibility,,Standard,,11/26/2019 4:33:23 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Review Eligibility,,Standard,,11/26/2019 4:33:54 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Review Eligibility,,Standard,,11/26/2019 4:34:21 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Load Triple S eligibility,,Customization,TRIPLE S,11/26/2019 9:10:16 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Eligibility loads automate folder,Source folders in the blob will change every month to year month for all payers.,Standard,,12/3/2019 5:23:40 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,"Gateway - Add new CVS fields to eligibility DB, ETL, API","Add these three fields to eligibility database, etl, and api CarrierID varchar 10 AccountID varchar 20 PharmacyGroupID varchar 30",Customization,GATEWAY,12/12/2019 9:12:43 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,[ TECH ] Eligibility Service target .NET SDK 2-> .net core 3.1,"Targeting SDK should be migrated from current version to .NET Core 3.1, You will need to 1 Update target SDK 2 Update related Nuget packages 3 Fix update some API because of braking changes Useful links style box sizing border box font family quot Segoe UI quot , quot Helvetica Neue quot , quot Apple Color Emoji quot , quot Segoe UI Emoji quot , Helvetica, Arial, sans serif Download SDK 3.1 a href https dotnet.microsoft.com download dotnet core 3.1 title https dotnet.microsoft.com download dotnet core 3.1 https dotnet.microsoft.com download dotnet core 3.1 a Check compatibilty a href https docs.microsoft.com en us dotnet core compatibility title https docs.microsoft.com en us dotnet core compatibility style font family quot Segoe UI quot , quot Helvetica Neue quot , quot Apple Color Emoji quot , quot Segoe UI Emoji quot , Helvetica, Arial, sans serif https docs.microsoft.com en us dotnet core compatibility a Migration guide a href https docs.microsoft.com en us aspnet core migration 22 to 30 view aspnetcore 3.1 amp tabs visual studio https docs.microsoft.com en us aspnet core migration 22 to 30 view aspnetcore 3.1 amp tabs visual studio a",Standard,,12/30/2019 4:22:37 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Eligibility load - January,"style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt FirstCare 32,149 style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt First Medical Not available yet style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt TripleS 183,884",Customization,TRIPLE S,1/13/2020 8:57:44 PM,Closed,,,,,,,,,,,,,,,,,,,
Data Ingestion/ETL,Eligibility Load - December,"style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt The records below were loaded for this month style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt AHC 12,172 considerable larger so downloaded the file and it s the correct count. style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt MCS 222,252 style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt SWHP 89,908 style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt Previously loaded style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt FirstCare 35,826 style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt First Medical 403,079 style margin 0in 0in 0pt font family quot Calibri quot ,sans serif font size 11pt MMM didn t load please see attachment with issues.",Customization,SWHP,1/13/2020 9:10:23 PM,Closed,,,,,,,,,,,,,,,,,,,
Network & PCP,Eligibility API: return PCPID field in CenterNo field,AS A matis I WANT the PCPID available in the eligibilty api SO THAT i can look up the pcp d fax id,Customization,GATEWAY,1/21/2020 6:57:10 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,"Move eligibility into .Net for AHC, MMM, MCS, Alignment, HP, and Humana",,Customization,HUMANA,1/21/2020 11:19:10 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,[SPIKE] Eligibility API call Mirth Real Time Eligibility service,,Standard,,1/23/2020 4:09:12 PM,Closed,,,,,,,,,,,,,,,,,,,
Other,Update Eligibility API to .Net Core 3.1,,Standard,,1/23/2020 4:09:53 PM,New,,,,,,,,,,,,,,,,,,,
Other,"Add New Fields to Eligibility Database, API","New Fields to Add OutOfArea bit, nullable ProductOfferCode LegalEntity",Customization,HPHC,2/7/2020 10:35:51 PM,Closed,,,,,,,,,,,,,,,,,,,
